month,sworn_total,st_alt,st_adj,st_alt_src
1/1/2024,3342,,3342,
12/1/2023,3332,,3332,
11/1/2023,3333,,3333,
10/1/2023,3335,,3335,
9/1/2023,3328,,3328,
8/1/2023,3332,,3332,
7/1/2023,3343,,3343,
6/1/2023,3343,,3343,
5/1/2023,3340,,3340,
4/1/2023,3362,,3362,
3/1/2023,3378,,3378,
2/1/2023,3386,,3386,
1/1/2023,3389,,3389,
12/1/2022,3408,,3408,
11/1/2022,3434,,3434,
10/1/2022,3458,,3458,
9/1/2022,3472,,3472,
8/1/2022,3476,,3476,
7/1/2022,3486,,3486,
6/1/2022,3510,,3510,
5/1/2022,3515,,3515,
4/1/2022,3525,,3525,
3/1/2022,3543,,3543,
2/1/2022,3546,,3546,
1/1/2022,3533,,3533,
12/1/2021,3551,,3551,
11/1/2021,3568,,3568,
10/1/2021,3580,,3580,
9/1/2021,3567,,3567,
8/1/2021,3570,,3570,
7/1/2021,3593,,3593,
6/1/2021,3611,,3611,
5/1/2021,3614,,3614,
4/1/2021,3642,,3642,
3/1/2021,3657,,3657,
2/1/2021,3676,,3676,
1/1/2021,3701,,3701,
12/1/2020,3743,,3743,
11/1/2020,3767,,3767,
10/1/2020,3799,,3799,
9/1/2020,3798,,3798,
8/1/2020,3789,,3789,
7/1/2020,3776,,3776,
6/1/2020,3763,,3763,
5/1/2020,3784,,3784,
4/1/2020,,3784,3784,20-May
3/1/2020,,3784,3784,20-May
2/1/2020,3797,,3797,
1/1/2020,3806,,3806,
12/1/2019,3806,,3806,
11/1/2019,3809,,3809,
10/1/2019,3720,,3720,
9/1/2019,3795,,3795,
8/1/2019,3805,,3805,
7/1/2019,3811,,3811,
6/1/2019,3803,,3803,
5/1/2019,3808,,3808,
4/1/2019,3815,,3815,
3/1/2019,3825,,3825,
2/1/2019,3841,,3841,
1/1/2019,3839,,3839,
12/1/2018,3815,,3815,
11/1/2018,3862,,3862,
10/1/2018,3855,,3855,
9/1/2018,3843,,3843,
8/1/2018,3841,,3841,
7/1/2018,3851,,3851,
6/1/2018,3853,,3853,
5/1/2018,3849,,3849,
4/1/2018,3837,,3837,
3/1/2018,3835,,3835,
2/1/2018,3838,,3838,
1/1/2018,3837,,3837,
12/1/2017,3834,,3834,
11/1/2017,3833,,3833,
10/1/2017,3821,,3821,
9/1/2017,,3821,3821,FY17
8/1/2017,,3821,3821,FY17
7/1/2017,,3821,3821,FY17
6/1/2017,,3821,3821,FY17
5/1/2017,,3821,3821,FY17
4/1/2017,,3821,3821,FY17
3/1/2017,,3821,3821,FY17
2/1/2017,,3821,3821,FY17
1/1/2017,,3821,3821,FY17
